date,round_id,cash,n_assets_px,n_prices,w_post,reward,value,fees,turnover,turnover_req,acted
2015-01-02 00:00:00+00:00,0,1000000.0,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,
2015-01-05 00:00:00+00:00,1,1000000.8333333333,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000000.8333333333,0.0,0.0,,False
2015-01-06 00:00:00+00:00,2,1000001.6666673609,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000001.6666673609,0.0,0.0,,False
2015-01-07 00:00:00+00:00,3,1000002.500002083,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000002.500002083,0.0,0.0,,False
2015-01-08 00:00:00+00:00,4,1000003.3333374995,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000003.3333374995,0.0,0.0,,False
2015-01-09 00:00:00+00:00,5,1000003.888894907,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000003.888894907,0.0,0.0,,False
2015-01-12 00:00:00+00:00,6,1000004.722231481,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000004.722231481,0.0,0.0,,False
2015-01-13 00:00:00+00:00,7,1000005.5555687494,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000005.5555687494,0.0,0.0,,False
2015-01-14 00:00:00+00:00,8,1000006.6666860334,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000006.6666860334,0.0,0.0,,False
2015-01-15 00:00:00+00:00,9,1000007.5000249222,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000007.5000249222,0.0,0.0,,False
2015-01-16 00:00:00+00:00,10,1000008.3333645054,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000008.3333645054,0.0,0.0,,False
2015-01-20 00:00:00+00:00,11,1000009.1667047831,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000009.1667047831,0.0,0.0,,False
2015-01-21 00:00:00+00:00,12,1000010.0000457553,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000010.0000457553,0.0,0.0,,False
2015-01-22 00:00:00+00:00,13,1000010.8333874219,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000010.8333874219,0.0,0.0,,False
2015-01-23 00:00:00+00:00,14,1000011.388948996,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000011.388948996,0.0,0.0,,False
2015-01-26 00:00:00+00:00,15,1000012.22229182,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000012.22229182,0.0,0.0,,False
2015-01-27 00:00:00+00:00,16,1000012.7778541658,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000012.7778541658,0.0,0.0,,False
2015-01-28 00:00:00+00:00,17,1000013.3334168202,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000013.3334168202,0.0,0.0,,False
2015-01-29 00:00:00+00:00,18,1000014.1667612646,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000014.1667612646,0.0,0.0,,False
2015-01-30 00:00:00+00:00,19,1000014.7223246905,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000014.7223246905,0.0,0.0,,False
2015-02-02 00:00:00+00:00,20,737914.7143887087,8,8,"[0.036032771359554225, 0.0, 0.03842121725504189, 0.03781451934659721, 0.037166797784400185, 0.038076570903548095, 0.037719822180332485, 0.03785768526871888]",0.0013469287147041794,1001362.5783985659,653.6170022153948,0.26249999999999996,,True
