date,round_id,cash,n_assets_px,n_prices,w_post,reward,value,fees,turnover,turnover_req,acted
2015-01-02 00:00:00+00:00,0,1000000.0,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,
2015-01-05 00:00:00+00:00,1,1000003.3333333334,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000003.3333333334,0.0,0.0,,False
2015-01-06 00:00:00+00:00,2,1000006.6666777779,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000006.6666777779,0.0,0.0,,False
2015-01-07 00:00:00+00:00,3,1000010.0000333335,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000010.0000333335,0.0,0.0,,False
2015-01-08 00:00:00+00:00,4,1000013.3334000004,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000013.3334000004,0.0,0.0,,False
2015-01-09 00:00:00+00:00,5,1000016.6667777784,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000016.6667777784,0.0,0.0,,False
2015-01-12 00:00:00+00:00,6,1000020.0001666677,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000020.0001666677,0.0,0.0,,False
2015-01-13 00:00:00+00:00,7,1000023.3335666683,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000023.3335666683,0.0,0.0,,False
2015-01-14 00:00:00+00:00,8,1000026.6669777803,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000026.6669777803,0.0,0.0,,False
2015-01-15 00:00:00+00:00,9,1000030.0004000036,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000030.0004000036,0.0,0.0,,False
2015-01-16 00:00:00+00:00,10,1000033.6116194495,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000033.6116194495,0.0,0.0,,False
2015-01-20 00:00:00+00:00,11,1000036.9450648215,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000036.9450648215,0.0,0.0,,False
2015-01-21 00:00:00+00:00,12,1000040.2785213051,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000040.2785213051,0.0,0.0,,False
2015-01-22 00:00:00+00:00,13,1000043.6119889001,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000043.6119889001,0.0,0.0,,False
2015-01-23 00:00:00+00:00,14,1000046.9454676068,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000046.9454676068,0.0,0.0,,False
2015-01-26 00:00:00+00:00,15,1000050.278957425,8,8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1000050.278957425,0.0,0.0,,False
